time,T_Dalam,H_Dalam
"""2021-02-25T01:31:00.119Z""",28.1,71.8
"""2021-02-25T01:31:03.010Z""",28.1,71.8
"""2021-02-25T01:31:06.178Z""",28.1,70.8
"""2021-02-25T01:31:09.014Z""",28.1,71.3
"""2021-02-25T01:31:12.011Z""",28.1,71.8
"""2021-02-25T01:31:15.011Z""",28.1,71.8
"""2021-02-25T01:31:18.031Z""",28.1,70.5
"""2021-02-25T01:31:21.010Z""",28,71.7
"""2021-02-25T01:31:24.010Z""",28.1,72.1
"""2021-02-25T01:31:27.009Z""",28.1,72.3
"""2021-02-25T01:31:30.010Z""",28.1,72.6
"""2021-02-25T01:31:33.040Z""",28.1,72.7
"""2021-02-25T01:31:36.096Z""",28.1,72.7
"""2021-02-25T01:31:39.011Z""",28.1,72.8
"""2021-02-25T01:31:42.011Z""",28.1,72.9
"""2021-02-25T01:31:45.009Z""",28,72.9
"""2021-02-25T01:31:48.010Z""",28.1,71.7
"""2021-02-25T01:31:51.010Z""",28.1,73.1
"""2021-02-25T01:31:54.009Z""",28.1,73
"""2021-02-25T01:31:57.012Z""",28.1,72.1
"""2021-02-25T01:32:00.012Z""",28.1,73.1
"""2021-02-25T01:32:03.011Z""",28.1,73.1
"""2021-02-25T01:32:06.011Z""",28.1,73.1
"""2021-02-25T01:32:09.012Z""",28.1,73
"""2021-02-25T01:32:12.010Z""",28.1,73
"""2021-02-25T01:32:15.011Z""",28.1,72.9
"""2021-02-25T01:32:18.034Z""",28.1,72.8
"""2021-02-25T01:32:21.014Z""",28,72.6
"""2021-02-25T01:32:24.201Z""",28.1,72.7
"""2021-02-25T01:32:27.010Z""",28,71.6
"""2021-02-25T01:32:30.010Z""",28,72.6
"""2021-02-25T01:32:33.010Z""",28,72.5
"""2021-02-25T01:32:36.014Z""",28.1,72.5
"""2021-02-25T01:32:39.011Z""",28,72.6
"""2021-02-25T01:32:42.011Z""",28,72.4
"""2021-02-25T01:32:45.009Z""",28,72.4
"""2021-02-25T01:32:48.009Z""",28,72.3
"""2021-02-25T01:32:51.012Z""",28,72.3
"""2021-02-25T01:32:54.009Z""",28,72.3
"""2021-02-25T01:32:57.012Z""",28,72.2
"""2021-02-25T01:33:00.015Z""",28,72.2
"""2021-02-25T01:33:03.009Z""",28,72.2
"""2021-02-25T01:33:06.009Z""",28,72.1
"""2021-02-25T01:33:09.010Z""",28,70.9
"""2021-02-25T01:33:12.008Z""",28,72.1
"""2021-02-25T01:33:15.017Z""",28,72.1
"""2021-02-25T01:33:18.008Z""",27.9,71.1
"""2021-02-25T01:33:21.009Z""",28,72.1
"""2021-02-25T01:33:24.011Z""",27.9,72
"""2021-02-25T01:33:27.009Z""",27.9,72
"""2021-02-25T01:33:30.011Z""",27.9,72
"""2021-02-25T01:33:33.008Z""",27.9,72
"""2021-02-25T01:33:36.008Z""",27.9,71.9
"""2021-02-25T01:33:39.012Z""",27.9,71.9
"""2021-02-25T01:33:42.012Z""",27.9,71.8
"""2021-02-25T01:33:45.009Z""",27.9,71.8
"""2021-02-25T01:33:48.009Z""",27.9,70.9
"""2021-02-25T01:33:51.007Z""",27.9,71.8
"""2021-02-25T01:33:54.009Z""",27.9,71.7
"""2021-02-25T01:33:57.007Z""",27.9,71.7
"""2021-02-25T01:34:00.015Z""",27.9,71.6
"""2021-02-25T01:34:03.011Z""",27.8,71.5
"""2021-02-25T01:34:06.008Z""",27.8,71.4
"""2021-02-25T01:34:09.007Z""",27.9,71.5
"""2021-02-25T01:34:12.008Z""",27.8,71.5
"""2021-02-25T01:34:15.009Z""",27.8,71.5
"""2021-02-25T01:34:18.010Z""",27.8,71.5
"""2021-02-25T01:34:21.007Z""",27.8,71.5
"""2021-02-25T01:34:24.011Z""",27.8,71.5
"""2021-02-25T01:34:27.009Z""",27.8,71.5
"""2021-02-25T01:34:30.011Z""",27.8,70.2
"""2021-02-25T01:34:33.009Z""",27.8,71.4
"""2021-02-25T01:34:36.011Z""",27.7,71.2
"""2021-02-25T01:34:39.007Z""",27.8,70.3
"""2021-02-25T01:34:42.009Z""",27.8,71.2
"""2021-02-25T01:34:45.012Z""",27.7,71.1
"""2021-02-25T01:34:48.007Z""",27.7,71
"""2021-02-25T01:34:51.010Z""",27.7,71.1
"""2021-02-25T01:34:54.010Z""",27.7,71.1
"""2021-02-25T01:34:57.008Z""",27.7,71.1
"""2021-02-25T01:35:00.060Z""",27.7,69.8
"""2021-02-25T01:35:03.008Z""",27.7,71
"""2021-02-25T01:35:06.008Z""",27.7,71
"""2021-02-25T01:35:09.010Z""",27.7,71
"""2021-02-25T01:35:12.008Z""",27.7,71
"""2021-02-25T01:35:15.011Z""",27.6,71
"""2021-02-25T01:35:18.008Z""",27.6,71
"""2021-02-25T01:35:21.007Z""",27.6,71
"""2021-02-25T01:35:24.010Z""",27.6,71
"""2021-02-25T01:35:27.007Z""",27.6,70.9
"""2021-02-25T01:35:30.011Z""",27.6,70.9
"""2021-02-25T01:35:33.007Z""",27.6,70.8
"""2021-02-25T01:35:36.011Z""",27.6,70.8
"""2021-02-25T01:35:39.007Z""",27.6,70.8
"""2021-02-25T01:35:42.007Z""",27.6,70.8
"""2021-02-25T01:35:45.010Z""",27.6,70.8
"""2021-02-25T01:35:48.007Z""",27.5,70.7
"""2021-02-25T01:35:51.008Z""",27.5,70.7
"""2021-02-25T01:35:54.007Z""",27.5,70.7
"""2021-02-25T01:35:57.009Z""",27.5,70.7
"""2021-02-25T01:36:00.010Z""",27.5,69.7
"""2021-02-25T01:36:03.010Z""",27.5,70.7
"""2021-02-25T01:36:06.008Z""",27.5,70.6
"""2021-02-25T01:36:09.009Z""",27.4,70.6
"""2021-02-25T01:36:12.007Z""",27.4,70.6
"""2021-02-25T01:36:15.008Z""",27.4,70.6
"""2021-02-25T01:36:18.007Z""",27.4,70.7
"""2021-02-25T01:36:21.014Z""",27.5,69.5
"""2021-02-25T01:36:24.008Z""",27.4,70.6
"""2021-02-25T01:36:27.007Z""",27.4,70.6
"""2021-02-25T01:36:30.010Z""",27.4,70.5
"""2021-02-25T01:36:33.009Z""",27.4,70.5
"""2021-02-25T01:36:36.007Z""",27.4,70.5
"""2021-02-25T01:36:39.009Z""",27.4,70.5
"""2021-02-25T01:36:42.007Z""",27.4,70.5
"""2021-02-25T01:36:45.007Z""",27.4,70.5
"""2021-02-25T01:36:48.009Z""",27.3,70.4
"""2021-02-25T01:36:51.006Z""",27.3,69.2
"""2021-02-25T01:36:54.009Z""",27.3,70.5
"""2021-02-25T01:36:57.006Z""",27.3,70.5
"""2021-02-25T01:37:00.019Z""",27.3,70.6
"""2021-02-25T01:37:03.006Z""",27.3,70.5
"""2021-02-25T01:37:06.009Z""",27.3,70.4
"""2021-02-25T01:37:09.008Z""",27.3,70.4
"""2021-02-25T01:37:12.006Z""",27.3,70.4
"""2021-02-25T01:37:15.009Z""",27.3,70.4
"""2021-02-25T01:37:18.008Z""",27.3,70.4
"""2021-02-25T01:37:21.006Z""",27.2,69.3
"""2021-02-25T01:37:24.009Z""",27.2,70.3
"""2021-02-25T01:37:27.006Z""",27.3,70.4
"""2021-02-25T01:37:30.009Z""",27.2,70.3
"""2021-02-25T01:37:33.006Z""",27.2,70.3
"""2021-02-25T01:37:36.007Z""",27.2,70.2
"""2021-02-25T01:37:39.009Z""",27.2,70.3
"""2021-02-25T01:37:42.007Z""",27.2,69
"""2021-02-25T01:37:45.007Z""",27.2,70.4
"""2021-02-25T01:37:48.010Z""",27.2,70.3
