time,T_Luar,H_Luar
"""2021-02-25T01:30:58.969Z""",29.6,89.8
"""2021-02-25T01:31:01.931Z""",29.6,89.7
"""2021-02-25T01:31:04.930Z""",29.6,89.6
"""2021-02-25T01:31:07.930Z""",29.6,89.6
"""2021-02-25T01:31:10.933Z""",29.6,88.9
"""2021-02-25T01:31:13.931Z""",29.6,89.7
"""2021-02-25T01:31:16.930Z""",29.6,88.3
"""2021-02-25T01:31:19.930Z""",29.6,89.7
"""2021-02-25T01:31:22.930Z""",29.6,89.6
"""2021-02-25T01:31:25.932Z""",29.6,89.6
"""2021-02-25T01:31:28.930Z""",29.6,89.5
"""2021-02-25T01:31:31.947Z""",29.6,88
"""2021-02-25T01:31:34.931Z""",29.6,89.3
"""2021-02-25T01:31:37.930Z""",29.6,88
"""2021-02-25T01:31:40.933Z""",29.7,88.5
"""2021-02-25T01:31:43.930Z""",29.6,89.2
"""2021-02-25T01:31:46.931Z""",29.6,88
"""2021-02-25T01:31:49.930Z""",29.6,89.2
"""2021-02-25T01:31:52.931Z""",29.6,87.9
"""2021-02-25T01:31:55.930Z""",29.6,87.9
"""2021-02-25T01:31:58.930Z""",29.5,89.2
"""2021-02-25T01:32:01.930Z""",29.5,87.9
"""2021-02-25T01:32:04.931Z""",29.5,89.2
"""2021-02-25T01:32:07.931Z""",29.6,87.9
"""2021-02-25T01:32:10.930Z""",29.6,88.2
"""2021-02-25T01:32:13.932Z""",29.6,89.3
"""2021-02-25T01:32:16.931Z""",29.6,89.3
"""2021-02-25T01:32:19.933Z""",29.6,89.3
"""2021-02-25T01:32:22.943Z""",29.6,87.9
"""2021-02-25T01:32:25.936Z""",29.6,89.3
"""2021-02-25T01:32:28.930Z""",29.6,89.3
"""2021-02-25T01:32:31.931Z""",29.6,88.4
"""2021-02-25T01:32:34.931Z""",29.6,89.3
"""2021-02-25T01:32:37.930Z""",29.6,89.4
"""2021-02-25T01:32:40.930Z""",29.5,88.1
"""2021-02-25T01:32:43.932Z""",29.5,89.2
"""2021-02-25T01:32:46.930Z""",29.5,89.2
"""2021-02-25T01:32:49.933Z""",29.5,87.9
"""2021-02-25T01:32:52.932Z""",29.5,89.2
"""2021-02-25T01:32:55.932Z""",29.5,89.3
"""2021-02-25T01:32:58.931Z""",29.5,89.2
"""2021-02-25T01:33:01.931Z""",29.5,88.3
"""2021-02-25T01:33:04.961Z""",29.5,89.2
"""2021-02-25T01:33:07.933Z""",29.5,87.8
"""2021-02-25T01:33:10.930Z""",29.5,89.2
"""2021-02-25T01:33:13.931Z""",29.5,89.2
"""2021-02-25T01:33:16.931Z""",29.5,89.2
"""2021-02-25T01:33:19.930Z""",29.5,89.2
"""2021-02-25T01:33:22.931Z""",29.5,88
"""2021-02-25T01:33:25.931Z""",29.5,89.4
"""2021-02-25T01:33:28.944Z""",29.5,88
"""2021-02-25T01:33:31.930Z""",29.4,89.3
"""2021-02-25T01:33:34.930Z""",29.4,89.3
"""2021-02-25T01:33:37.931Z""",29.4,89.3
"""2021-02-25T01:33:40.932Z""",29.4,89.4
"""2021-02-25T01:33:43.929Z""",29.4,88.2
"""2021-02-25T01:33:46.930Z""",29.4,89.4
"""2021-02-25T01:33:49.929Z""",29.4,89.5
"""2021-02-25T01:33:52.934Z""",29.4,88.7
"""2021-02-25T01:33:55.931Z""",29.3,89.5
"""2021-02-25T01:33:58.930Z""",29.3,89.5
"""2021-02-25T01:34:01.930Z""",29.3,89.5
"""2021-02-25T01:34:04.930Z""",29.2,89.6
"""2021-02-25T01:34:07.930Z""",29.2,89.6
"""2021-02-25T01:34:10.933Z""",29.3,89.7
"""2021-02-25T01:34:13.930Z""",29.3,89.7
"""2021-02-25T01:34:16.930Z""",29.3,88.5
"""2021-02-25T01:34:19.929Z""",29.3,88.6
"""2021-02-25T01:34:22.932Z""",29.3,89.1
"""2021-02-25T01:34:25.930Z""",29.3,89.9
"""2021-02-25T01:34:28.932Z""",29.3,89.9
"""2021-02-25T01:34:31.929Z""",29.2,89.8
"""2021-02-25T01:34:34.932Z""",29.3,90
"""2021-02-25T01:34:37.929Z""",29.2,89.9
"""2021-02-25T01:34:40.931Z""",29.2,89.9
"""2021-02-25T01:34:43.947Z""",29.3,90
"""2021-02-25T01:34:46.930Z""",29.2,90
"""2021-02-25T01:34:49.932Z""",29.2,90
"""2021-02-25T01:34:52.929Z""",29.2,90
"""2021-02-25T01:34:55.929Z""",29.2,90
"""2021-02-25T01:34:58.932Z""",29.3,88.9
"""2021-02-25T01:35:01.931Z""",29.2,88.8
"""2021-02-25T01:35:04.929Z""",29.2,88.8
"""2021-02-25T01:35:07.933Z""",29.2,90.1
"""2021-02-25T01:35:10.929Z""",29.2,90.1
"""2021-02-25T01:35:13.938Z""",29.2,89.4
"""2021-02-25T01:35:16.931Z""",29.2,90.1
"""2021-02-25T01:35:19.936Z""",29.2,90.1
"""2021-02-25T01:35:22.933Z""",29.2,90.1
"""2021-02-25T01:35:25.929Z""",29.3,89
"""2021-02-25T01:35:28.932Z""",29.3,90.1
"""2021-02-25T01:35:31.935Z""",29.2,89
"""2021-02-25T01:35:34.932Z""",29.3,89.1
"""2021-02-25T01:35:37.930Z""",29.3,89.1
"""2021-02-25T01:35:40.937Z""",29.3,90.1
"""2021-02-25T01:35:43.943Z""",29.3,89.5
"""2021-02-25T01:35:46.927Z""",29.3,90.1
"""2021-02-25T01:35:49.929Z""",29.2,90
"""2021-02-25T01:35:52.935Z""",29.2,88.8
"""2021-02-25T01:35:55.928Z""",29.2,90.1
"""2021-02-25T01:35:58.928Z""",29.3,89
"""2021-02-25T01:36:01.929Z""",29.3,89.2
"""2021-02-25T01:36:04.930Z""",29.3,89
