time,PMV,PPD
"""2021-02-25T01:31:24.636Z""",0.74,16.7
"""2021-02-25T01:31:33.319Z""",1.04,27.7
"""2021-02-25T01:31:36.981Z""",0.51,10.3
"""2021-02-25T01:31:37.022Z""",0.71,15.6
"""2021-02-25T01:31:37.044Z""",0.5,10.3
"""2021-02-25T01:31:37.861Z""",0.51,10.4
"""2021-02-25T01:31:42.010Z""",0.51,10.4
"""2021-02-25T01:31:50.913Z""",0.47,9.7
"""2021-02-25T01:31:54.723Z""",0.52,10.6
"""2021-02-25T01:32:04.062Z""",0.52,10.6
"""2021-02-25T01:32:13.251Z""",0.52,10.6
"""2021-02-25T01:32:19.175Z""",0.51,10.4
"""2021-02-25T01:32:27.170Z""",0.48,9.7
"""2021-02-25T01:32:37.845Z""",0.48,9.7
"""2021-02-25T01:32:42.529Z""",0.51,10.3
"""2021-02-25T01:32:48.161Z""",0.47,9.7
"""2021-02-25T01:33:00.534Z""",0.47,9.7
"""2021-02-25T01:33:07.666Z""",0.47,9.7
"""2021-02-25T01:33:14.362Z""",0.46,9.4
"""2021-02-25T01:33:20.580Z""",0.47,9.6
"""2021-02-25T01:33:27.011Z""",0.47,9.6
"""2021-02-25T01:33:32.983Z""",0.43,8.9
"""2021-02-25T01:33:36.957Z""",0.43,8.9
"""2021-02-25T01:33:48.334Z""",0.43,8.9
"""2021-02-25T01:33:52.130Z""",0.44,9.1
"""2021-02-25T01:33:57.861Z""",0.43,8.9
"""2021-02-25T01:34:07.071Z""",0.41,8.5
"""2021-02-25T01:34:17.017Z""",0.41,8.5
"""2021-02-25T01:34:21.860Z""",0.41,8.5
"""2021-02-25T01:34:28.212Z""",0.41,8.5
"""2021-02-25T01:34:34.139Z""",0.38,8
"""2021-02-25T01:34:40.048Z""",0.35,7.6
"""2021-02-25T01:34:49.265Z""",0.35,7.6
"""2021-02-25T01:34:58.558Z""",0.35,7.6
"""2021-02-25T01:35:07.081Z""",0.35,7.6
"""2021-02-25T01:35:12.940Z""",0.35,7.6
"""2021-02-25T01:35:19.095Z""",0.34,7.3
"""2021-02-25T01:35:27.887Z""",0.34,7.3
"""2021-02-25T01:35:34.005Z""",0.34,7.4
"""2021-02-25T01:35:40.154Z""",0.34,7.5
"""2021-02-25T01:35:49.035Z""",0.34,7.5
"""2021-02-25T01:35:55.604Z""",0.28,6.6
"""2021-02-25T01:36:01.137Z""",0.28,6.6
"""2021-02-25T01:36:07.567Z""",0.28,6.6
"""2021-02-25T01:36:12.992Z""",0.24,6.2
"""2021-02-25T01:36:19.454Z""",0.24,6.2
"""2021-02-25T01:36:27.941Z""",0.24,6.2
"""2021-02-25T01:36:36.904Z""",0.24,6.2
"""2021-02-25T01:36:43.082Z""",0.24,6.2
"""2021-02-25T01:36:52.040Z""",0.23,6.1
"""2021-02-25T01:36:57.836Z""",0.24,6.2
"""2021-02-25T01:37:03.983Z""",0.24,6.2
"""2021-02-25T01:37:13.053Z""",0.23,6.1
"""2021-02-25T01:37:22.540Z""",0.23,6.1
"""2021-02-25T01:37:27.921Z""",0.17,5.6
"""2021-02-25T01:37:34.123Z""",0.17,5.6
"""2021-02-25T01:37:42.889Z""",0.17,5.6
"""2021-02-25T01:37:52.567Z""",0.17,5.6
"""2021-02-25T01:38:00.928Z""",0.17,5.6
"""2021-02-25T01:38:09.047Z""",0.16,5.5
"""2021-02-25T01:38:14.130Z""",0.16,5.5
"""2021-02-25T01:38:22.257Z""",0.16,5.5
"""2021-02-25T01:38:29.169Z""",0.16,5.5
"""2021-02-25T01:38:36.940Z""",0.16,5.5
"""2021-02-25T01:38:47.402Z""",0.09,5.2
"""2021-02-25T01:38:53.325Z""",0.13,5.3
"""2021-02-25T01:39:02.561Z""",0.13,5.3
"""2021-02-25T01:39:08.096Z""",0.13,5.3
"""2021-02-25T01:39:16.256Z""",0.06,5.1
"""2021-02-25T01:39:22.261Z""",0.06,5.1
"""2021-02-25T01:39:30.864Z""",0.06,5.1
"""2021-02-25T01:39:39.925Z""",0.06,5.1
"""2021-02-25T01:39:49.092Z""",0.06,5.1
"""2021-02-25T01:39:56.082Z""",0.05,5.1
"""2021-02-25T01:40:04.079Z""",0.05,5.1
"""2021-02-25T01:40:09.948Z""",0.05,5.1
"""2021-02-25T01:40:18.980Z""",0.05,5.1
